飞周兄弟 | 还袭击 | Racism | hate [END]
安徽池州 | 从五线变四线 | Region | non-hate [END]
NULL | 我吐了 | others | hate [END]
男生对男同 | 生理反感 | non-hate | non-hate [END]
东北人 | 我们东北下面的河南 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
南非 | 从来都不是发达国家 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
女性和幕刃 | 是两种生物 | Sexism | hate [END]
NULL | 人家是生意，要收钱的 | non-hate | non-hate [END]
极端女权 | 极端男拳 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
现在的同性恋 | 都这么叼吗？ | LGBTQ | hate [END]
呵呵 | 女权变成女拳之前结婚率血崩了 | non-hate | non-hate [END]
人家 | 娶个漂亮老婆算什么难事吗？ | non-hate | non-hate [END]
龟男 | 毫不值得同情 | Sexism | hate [END]
NULL | 不脸的女人 | Sexism | hate [END]
NULL | 男的 | non-hate | non-hate [END]
NULL | 家暴男捏 | others | hate [END]
美国有种族歧视 | 中国有地域歧视 | non-hate | non-hate [END]
NULL | 不得一刀刺过去 | others | non-hate [END]
被骗去非洲的国女 | 去了就回不来了 | non-hate | non-hate [END]
NULL | 改变了血型 | non-hate | non-hate [END]
NULL | 现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松 | non-hate | non-hate [END]
假和尚 | 在河南才多🤣🤣🤣🤣 | Region | non-hate [END]
混血儿 | 过去是杂种 | others | non-hate [END]
这鸡汤 | 好喝 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
上海人 | 被骂要饭的 | Region | hate [END]
NULL | 团结起来，赶走黑人 | Racism | hate [END]
NULL | 我也尽了自己的一份力 | non-hate | non-hate [END]
外国媳妇 | 日韩越的还能接受 | Racism | non-hate [END]
女性 | 还真的有...优势 | Sexism | non-hate [END]
这种nt发言 | 一度让我怀疑是友军反串 | non-hate | non-hate [END]
NULL | 你不会以为同看到你就会疯狂的爱上你吧 | non-hate | non-hate [END]
这 | 是不是批判，这比批判严重多了 | non-hate | non-hate [END]
如此双标的话 | 不是÷生真说不出口 | non-hate | non-hate [END]
NULL | 一堆丑男 | others | hate [END]
新疆 | 切糕 | non-hate | non-hate [END]
NULL | 我们同性恋太正确了 | LGBTQ | hate [END]
NULL | a如此渺小了 | others | hate [END]
NULL | 颠覆国人的三观 | others | hate [END]
NULL | 一脚踢爆 | others | hate [END]
NULL | 威逼利诱 | non-hate | non-hate [END]
NULL | 我这辈子没这么无语过😓😓😓 | non-hate | non-hate [END]
这个确实更靠谱，我在2021年恭喜说的是对的，现在女权已经疯了，都开始从基因找优越感了 | NULL | non-hate | non-hate [END]
NULL | 吃狗肉没有什么社会危害性 | others | non-hate [END]
沈阳 | 看得上 | others | non-hate [END]
NULL | 出国了吗？ | others | non-hate [END]
NULL | 中国人能给 | non-hate | non-hate [END]
NULL | 黑性旺盛 | non-hate | non-hate [END]
你 | 倒是挺会装的 | non-hate | non-hate [END]
NULL | love don’t is love | others | non-hate [END]
这种龟男 | 必须抵制 | Sexism | hate [END]
NULL | 一辈子洗三次澡 | others | non-hate [END]
NULL | rush，增加kuai感的 | non-hate | non-hate [END]
NULL | 陪你打到底 | others | non-hate [END]
NULL | 下海吧 | others | non-hate [END]
NULL | 南满 | Region | hate [END]
NULL | 这司机长得还行啊 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 普信女 | Sexism | hate [END]
嫁黑人的 | 我不反对，我只歧视。最好出中国永远别回来了 | Racism | hate [END]
NULL | 吧里没落了 | others | non-hate [END]
NULL | 怕性病艾滋病 | others | non-hate [END]
你 | 现在为什么住南昌呢？ | non-hate | non-hate [END]
NULL | 所有中国人 | Racism | hate [END]
NULL | 没办法我天生的改不了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 有良心吗 | Racism | hate [END]
Gay | 会挑 | LGBTQ | hate [END]
歧视咱 | 正正当当的看不惯 | non-hate | non-hate [END]
四川 | 经常被黑 | others | hate [END]
她 | 看看...有没有微博，小红书，豆瓣 | Sexism | non-hate [END]
十二生肖里没黑人 | NULL | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 舍得给女孩子花钱的不一定爱 | non-hate | non-hate [END]
中国男人 | 生下z种的人 | non-hate | non-hate [END]
现在的娘炮 | 对不起那些女拳拿这些娘炮当例子还说人家嫉妒 | LGBTQ | hate [END]
被黑并不完全是经济原因 | 不必为这个生气 | non-hate | non-hate [END]
炫耀找黑媳妇的 | 基本没见过什么世面 | non-hate | non-hate [END]
基佬 | 不搞女人的渣男 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 不会要 | others | hate [END]
NULL | 建立男女平等的社会与建立男尊女卑的社会 | non-hate | non-hate [END]
NULL | 绝对不无辜 | others | hate [END]
女拳 | 不是说女性是伞兵 | Sexism | hate [END]
txl | 双面人 | LGBTQ | hate [END]
NULL | 学长也打拳 | others | non-hate [END]
女拳 | 导致艾资也不少 | Sexism | non-hate [END]
垃圾小仙女 | 不配活着 | Sexism | hate [END]
女拳 | 没有逻辑的动物 | Sexism | hate [END]
NULL | 抠脚大汉搞反串 | others | non-hate [END]
NULL | 中国遍地都是黑娃 | others | hate [END]
NULL | 反对同性恋 | others | hate [END]
NULL | 我害怕😨两点，1外网上有动作片，2有病HIV HPV。 | non-hate | non-hate [END]
NULL | 你的屁眼子 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
