飞周兄弟 | 还不认亲？ | Racism | hate [END]
黑人白人 | 都不待见！ | Racism | hate [END]
河南的回族 | 简直互联网最底层🤣 | Region;others | non-hate [END]
女的 | 基本上没国家概念 | Sexism | hate [END]
北京人 | 对上海人很复杂的情绪 | Region | non-hate [END]
这位警官 | 是尽职尽责的人 | non-hate | non-hate [END]
铌铬 | 凤毛麟角的人物来代替99.99%的铌铬 | Racism;Sexism | hate [END]
有些人 | 玩个游戏都要捏个光头黑人。 | Racism | non-hate [END]
她 | 那她得不介绍她的社会关系。 | non-hate | non-hate [END]
你 | 你看看一个多月了有人理你吗 | non-hate | non-hate [END]
人类的叛徒 | 人类历史的先祖们早就有预料今日这些人类的叛徒 | others | hate [END]
她 | 怕是生活中沒人對她說過這些話，一邊罵街一邊yy | non-hate | non-hate [END]
男人 | 对策：男人不婚 | Sexism | non-hate [END]
NULL | 这狗知道那些小狗是它的孩子吗？真是它的孩子吗？？？ | non-hate | non-hate [END]
山东人陕西人 | 真的不爱出门打工 | Region | non-hate [END]
NULL | 以后亲子鉴定希望跟验孕棒一样普及 | non-hate | non-hate [END]
台湾 | 不光该骂，简直是该打！ | Region | hate [END]
黑人 | 是不是灵长类 | Racism | hate [END]
龟男 | 武侠火那时候全是龟男道德观 | Sexism | hate [END]
湖南 | 湖南由于答主口音有问题逃过一劫 | Region | non-hate [END]
外籍留学生 | ZF2010年因为政治正确取消外籍留学生艾滋病强制筛查 | others;Racism | non-hate [END]
你 | 你野die们在呼唤你 | non-hate | non-hate [END]
科学家 | 相信科学家 | non-hate | non-hate [END]
女⭕️师 | 这里面女⭕️师也不少 | Sexism | hate [END]
一部分南方人 | 是不是分不清北方口音啊 | Region | non-hate [END]
NULL | 保护我方输出 | non-hate | non-hate [END]
我 | 我在，我每天都在关注都看的！ | non-hate | non-hate [END]
兄弟 | 辛苦了 | non-hate | non-hate [END]
同性恋 | 在天性喜爱叛逆的未成年人群体中大肆宣扬 | LGBTQ | hate [END]
她们 | 不知道她们支持谁呢？ | Sexism | hate [END]
女人 | 比较好忽悠。 | Sexism | hate [END]
NULL | 我超，男同！ | non-hate | non-hate [END]
龟男 | 还不是龟男不努力 | Sexism | hate [END]
黑人 | 怕死，又笨，遇到战斗先投降 | Racism | hate [END]
卖啤的女的 | 底层打工人过得还不如卖啤的女的 | Sexism;others | hate [END]
中国女拳友 | 是有很多中国女拳友，还是脑子不好使那种 | Sexism | hate [END]
河南朋友 | 我认识的河南朋友都挺好的 | Region | non-hate [END]
他 | 如何在背后阴阳怪气说我们 | non-hate | non-hate [END]
有些人 | 骂上海人配不上这个全中国的上海 | Region | hate [END]
NULL | 哇哈，终于看到自然选择这几个字了，不错不错俺点赞了 | non-hate | non-hate [END]
母钩 | 我已经举报加爆杀这母钩了 | Sexism | hate [END]
南京 | 环境方面是不行 | Region | non-hate [END]
小黑奴 | 这卖的是小黑奴，一万多一个， | Racism | hate [END]
当代小仙女 | 经典装理客中装不下去了就开始破口大骂了 | Sexism | hate [END]
NULL | 这种手术正规大医院一般不做的。 | non-hate | non-hate [END]
NULL | 我是不支持男女平等 | Sexism | non-hate [END]
你 | 去帮你的嘿嘿打工吧 | Racism | hate [END]
NULL | 央视会说不要歧视感冒患者么😆 | non-hate | non-hate [END]
你 | 自己不控制自己，还怕别人传病你？ | non-hate | non-hate [END]
同性恋 | 可以和异性结婚并不能说明他们喜欢异性 | LGBTQ | non-hate [END]
串串 | 滚去非洲，别把串串留在中国 | Racism | hate [END]
NULL | 大家怎么看 | non-hate | non-hate [END]
西方白人 | 比黑人智商更高 | Racism | hate [END] [SEP] 非洲 | 一般智商平均水平偏低，并且黑色的皮肤也往往不受人喜欢 | Racism | hate [END]
现代女生 | 想在哪里生活人家自己选择 | Sexism | non-hate [END]
基佬 | 你怎么骂基佬我也不生气 | LGBTQ | non-hate [END]
河南人 | 为什么河南人被黑，我想肯定是有原因的 | Region | hate [END]
外地人 | 歧视一切外地人 | Region | hate [END]
NULL | 天天给我推黑山东的 | non-hate | non-hate [END]
有过-同居史-的-女孩- | 能-娶-吗？ | Sexism | hate [END]
安徽人 | 上海好南京好多人都歧视安徽人 | Region | hate [END]
女性 | 的择偶标准都是“三无四有”了啊 | Sexism | non-hate [END]
她 | 直接掀它东西，干就完了 | non-hate | non-hate [END]
姆蛆 | 需要姆蛆引流捏 | Sexism | hate [END]
NULL | 传统地域歧视地区 | non-hate | non-hate [END]
外地人 | 上海歧视外地人是普遍存在 | Region | hate [END]
默妖 | 能否尽灭默妖 | Racism | hate [END]
安徽的 | 背地里要被冷嘲热讽死 | Region | hate [END]
你 | 你的三观真的有毒 | non-hate | non-hate [END]
北方 | 都是人上人 | Region | hate [END]
“高材生” | 非洲引进的“高材生” | Racism | non-hate [END]
女性 | 一个性别有什么资格要求尊重？ | Sexism | hate [END]
北欧 | 只不过是在性少数上做的相对比米国较好罢了 | LGBTQ;Region | non-hate [END]
东北人 | 怕啥，有我们东北人在前面顶着呢 | Region | non-hate [END]
黑人 | 歧视黑人正确吗？非常正确 | Racism | hate [END]
NULL | 要的就是根本就回不来，不然去非洲有啥意义 | non-hate | non-hate [END]
中国男人 | 媚外世界第一 | Sexism;Racism | hate [END] [SEP] 国女 | 被权威组织点名媚外的，国女那可是头一份啊 | Sexism;Racism | hate [END]
杂交的 | 不如纯种的好 | Racism | hate [END]
嘿蛆族 | 永远都是J生虫 | Racism | hate [END]
浙江 | 为什么黑浙江啊 | Region | non-hate [END]
你 | 求求了你可别发了，还是去上学吧😅 | non-hate | non-hate [END]
荷兰人 | 你荷兰什么名声自己心里没点数！ | Region | hate [END]
洋垃圾 | 学校把这些洋垃圾招进来 | Racism | hate [END]
女人如果嫁到外国人 | 小孩不能在中国读公立学校 | Sexism | hate [END]
NULL | 打错了，不是F省，应该读作H省 | non-hate | non-hate [END]
黑杂 | 记得前些年有个黑杂在抖音拍南京大屠杀纪念日 | Racism | hate [END]
NULL | 有钱哪里的妹子都喜欢你 | non-hate | non-hate [END]
塔利班 | 人家塔利班有飞机大炮 | others | non-hate [END]
傻卵劣信女 | 那些傻卵劣信女别理它们 | Sexism | hate [END]
黑人 | 天王老子来了👴🏻也歧视黑人 | Racism | hate [END]
和老外有过交往的 | 我都从心里嫌弃😅😅 | Racism;Sexism | hate [END]
人家 | 嫉妒人家生活过得好的人。 | Region | non-hate [END]
东北 | 整个知乎地域黑大v最多的地方 | Region | hate [END]
NULL | 可以试试送去种植园工作 | Racism | hate [END]
河南人 | 我见过的河南人都这样 | Region | hate [END]
外星优质男人 | 为什么不找外星优质男人呢 | others | non-hate [END]
你 | 别人问候你父母也是合情合理的🙂 | non-hate | non-hate [END]
你 | 建议你发孙吧 | non-hate | non-hate [END]
你 | 你早点蛆丝 | non-hate | non-hate [END]
NULL | 河南是中原文明/华夏文明的起源地啊🤣 | non-hate | non-hate [END]
一些人 | 觉得自己是同性恋就可以高人一等了是吧 | LGBTQ | hate [END]
中国人 | 上海排外排的是中国人 | Region | hate [END] [SEP] 外国人 | 全供起来舔 | Racism;Region | hate [END]
你 | 可以与黑人结婚，但孩子别生在咱国 | Racism | hate [END]
基佬 | 杀光一切基佬 | LGBTQ | hate [END]
湖女省的司法机关 | 真不好说钕拳之都 | Region;Sexism | hate [END]
交往的黑人 | 不管是什么原因交往的黑人，都绝不接受 | Racism | hate [END]
殖蝻 | 又是你这个高贵的殖蝻啊 | Sexism | hate [END]
黑人 | 不喜欢黑人是正常的 | Racism | hate [END] [SEP] 白人等异族 | 也排斥白人等异族 | Racism | hate [END]
剩下的女人 | 全都是不爱国的 | Sexism | hate [END]
这种人 | 纯粹是同性恋里的败类 | LGBTQ | hate [END]
黑人 | 歧视黑人 | Racism | hate [END] [SEP] 对它们有好感的easygirl | 歧视...easygirl | Racism;Sexism | hate [END]
中国男人 | 哪来的中国男人就很负责？ | Sexism | non-hate [END]
陕西的专业黑子 | 这种东西都有病吧🤔 | Region | hate [END]
非处女 | 让非处女坦白性史 | Sexism | hate [END]
你 | 你不也是？ | non-hate | non-hate [END]
NULL | 感觉也很不符合外边对东北人的认知 | non-hate | non-hate [END]
小氙钕 | 支持小氙钕 | Sexism | hate [END]
纳粹 | 是剥夺他人生命，侵犯他人权益 | others | hate [END] [SEP] 同性恋 | 侵犯你啥了？ | LGBTQ | non-hate [END]
你 | 看你是女的好欺负罢了。 | Sexism | hate [END]
广东 | 你把广东放在什么地方了 | Region | non-hate [END]
山东 | 山东完美契合 | Region | non-hate [END]
NULL | 法无禁止即可为 | non-hate | non-hate [END]
人家 | 独立自主和你有什么关系 | non-hate | non-hate [END]
她们 | 艾滋病率远超失足妇女 | others | hate [END]
NULL | 同性恋先天的？？ | non-hate | non-hate [END]
富人 | 那么舔的么 | others | non-hate [END]
你们 | 不想一棍子打死车、房、彩礼你们倒是一视同仁啊😆 | non-hate | non-hate [END]
魔怔人 | 以后不准魔怔人出现在我帖子里 | non-hate | non-hate [END]
学伴 | 难道不是慰安妇吗 | Sexism;others | hate [END]
他 | 他就在胡说八道，挑拨离间那 | non-hate | non-hate [END]
女人 | 过的就是比我们男人要轻松 | Sexism | hate [END]
NULL | 男人不坏， | non-hate | non-hate [END]
NULL | 如果这些人都有能力，是男是女都一样 | non-hate | non-hate [END]
反同性恋的偏见 | 智力与反同性恋的偏见之间存在很高的相关性 | LGBTQ | non-hate [END]
NULL | 只要秉持反黑。都可以 | Racism | non-hate [END]
txl | 必死 | LGBTQ | hate [END]
NULL | 你可以取消“粉丝”啊 | non-hate | non-hate [END]
我 | 就是种族内个歧视了 | Racism | hate [END]
黑蛆 | 属于机会生存，被带出蛆巢时很开心。 | Racism | hate [END]
一门心思娶外国女人的男性朋友 | 见过五六个一门心思娶外国女人的男性朋友😜😜 | non-hate | non-hate [END]
你 | 你是哪里人？ | non-hate | non-hate [END]
光棍 | 当然要找外国女人 | non-hate | non-hate [END]
他们一部分人 | 直球直起来很离谱，很自私 | Region | hate [END]
NULL | 证据链不完整 | non-hate | non-hate [END]
直男 | 很多直男对同都是无感的 | LGBTQ | non-hate [END] [SEP] 那个男的 | 神经病么 | LGBTQ | hate [END]
喷神 | 可能大概也许貌似真的有点种族歧视 | Racism | non-hate [END] [SEP] 我 | 我支持喷神😆 | Racism | hate [END]
上海 | 名声一直就不好 | Region | hate [END]
黑人 | 至少比你强多了 | Racism | non-hate [END]
奥巴马 | 是黑犹混血，并不是真正的黑人 | Racism | non-hate [END]
你 | 为什么如此骂自己的老爸 | non-hate | non-hate [END]
厦门 | 是被地域黑最严重的地方之一 | Region | non-hate [END]
你 | 正常男人也接受不了啊😅😅😅 | Sexism | non-hate [END]
姆人 | 每天都要找理由骂她一顿，今天把它都给骂哭了 | Sexism | hate [END]
我们种族歧视者 | 被白左歧视了 | Racism | non-hate [END]
黑人夫妻 | 体味酸酸馊馊的……我全程憋着不敢呼吸 | Racism | hate [END]
同性恋 | 他本身是先天得来的东西 | LGBTQ | non-hate [END]
您 | 如此高傲的挑衅全体人民的行为 | non-hate | non-hate [END]
吧友们 | 反对自己后代的基因被染黑。 | Racism | hate [END]
NULL | 【注意】非洲源头奥密克戎变异株Ba.5已传至陕西省西安市。 | non-hate | non-hate [END]
我们云南人 | 可比黑种好看多了🤔 | Racism | hate [END]
“女权” | 就是女人没有了束缚后释放本性的模样 | Sexism | hate [END]
NULL | 上男人车提供吹吹服务 | non-hate | non-hate [END]
黑人 | 有中秋节吗？ | non-hate | non-hate [END]
跪虫族 | 大家请注意曾经在黑人吧著名跪虫族钓鱼狂人网名夹你又回来 | Racism | hate [END]
NULL | 你管这叫日常 | non-hate | non-hate [END]
NULL | 谈恋爱不在朋友圈公开女生会介意的吧 | non-hate | non-hate [END]
上海 | 是唯一一个本地人在本地说本地话，要被说排外的城市 | Region | hate [END]
你们卫辉官媒 | 黑山东 | Region | hate [END]
浙江人 | 在全世界被歧视 集体驱逐 | Region | hate [END]
生黑孩的女人 | 生黑孩的女人！！！ | Racism;Sexism | hate [END]
你 | 你这不是真黑，，，是假黑 | non-hate | non-hate [END]
NULL | 这评论里面就有天天念叨一枪不放丢东北的 | non-hate | non-hate [END]
媚默女 | 希望建立个媚默女的档案库 | Racism;Sexism | hate [END]
女的 | 把“白幼瘦”归为畸形审美? | Sexism | non-hate [END]
很多人 | 急着否定，说江西人自吹自擂 | Region | hate [END]
你 | 怎么就不能是男的呢 | non-hate | non-hate [END]
这个酒厂 | 请代言人直接逆着受众群体选 | others | non-hate [END]
NULL | 黑人没有大量贩卖到法国葡萄牙 | non-hate | non-hate [END]
黑人 | 不是中国的一部分。 | Racism | non-hate [END]
劣信幕刃 | 真下头 | Sexism | hate [END]
亚裔 | 不会反抗，也不团结 | Racism | non-hate [END]
NULL | 我们希望，新上海人和老上海人能携起手来，共同传承吴语，勿相互攻击。 | non-hate | non-hate [END]
我们河南 | 我觉得还是有人黑我们河南 | Region | non-hate [END]
东北人 | 喜欢黑东北人是因为东北人口音太明显了 | Region | hate [END]
外国黑人 | 是通过和中国女的结婚繁殖混血黑二代殖民中国 | Racism;Sexism | hate [END]
NULL | 河南官方认证 | non-hate | non-hate [END]
黑人 | 其余的都不行啊。 | Racism | hate [END]
艾滋病 | 现在艾滋病的传播异性恋可是占主流呢 | LGBTQ;others | non-hate [END]
上海 | 笑而不语 | Region | non-hate [END]
同性恋 | 拉低我对同性恋的好感 | LGBTQ | hate [END]
黑人 | 犯罪率极高 | Racism | hate [END]
河童 | 别把河童的图片放上来。。。 | others | non-hate [END]
你 | 你去撒哈拉以南待两年就不会说这种话了 | non-hate | non-hate [END]
NULL | 我们这里不管男的女的，如果不结婚就不能上族谱 | non-hate | non-hate [END]
田园女权 | 风气都被田园女权带坏了 | Sexism | hate [END]
NULL | 没有批判，如果有请指出来，我与你一同批判他的错误言论。 | non-hate | non-hate [END]
田园女拳 | 有滥交的自由 | Sexism | hate [END]
大部分女性 | 要求不婚检吗，婚检就是对我的不信任⁉ | Sexism | non-hate [END]
你这样的人 | 真的很讨厌 张口闭口南大人 | Region | hate [END]
NULL | 抖音真的可以 | non-hate | non-hate [END]
楼主 | 你也可以的，多元文明共融。 | non-hate | non-hate [END]
老实人 | 会被绿当老实人接盘侠 | Sexism | hate [END]
同性恋文化 | 整天受同性恋文化熏陶万一弯了可咋办 | LGBTQ | hate [END]
这主播 | 也是个fw | others | non-hate [END]
NULL | 想找个 | non-hate | non-hate [END]
NULL | 如果黑老美骂老美能把老美搞成非洲，那才是真成功！ | non-hate | non-hate [END]
杭州人 | 那个跳，你说我们荒漠是因为你吃不起巴拉巴拉😢 | Region | hate [END]
老一辈 | 排外表现明显 | others | non-hate [END]
你 | 又见你上蹿下跳 | non-hate | non-hate [END]
美国黑人 | 并不缺教育资源 | Racism | non-hate [END]
老一辈的人 | 真的很多排外的呀 | Region | hate [END]
黑人 | 我也一定排黑的 | Racism | hate [END]
我 | 和我一模一样，河南籍新疆人。 | non-hate | non-hate [END]
NULL | 三民主义就有民族主义。 | non-hate | non-hate [END]
你们 | 遭人唾弃，还是你们自己的问题 | non-hate | non-hate [END]
老实人 | 最后可能婚后一地鸡毛还有个泼皮祖宗站在老实人头大拉屎撒尿。 | Sexism | hate [END]
黑龙江人 | 唱衰东北的急先锋就是黑龙江人 | Region | hate [END]
黑人 | 是时候要灭绝黑人了 | Racism | hate [END]
NULL | 主导叙事比起说自己是对的以及对方是错的更重要。 | non-hate | non-hate [END]
这地方 | 在全国是出了名的 | Region | hate [END]
撑同弱智 | 我不会选撑同弱智 | LGBTQ | hate [END]
女人 | 都是***么 | Sexism | hate [END]
国女 | 有大量国女愿意倒贴外国人🐶 | Sexism;Racism | hate [END]
广西人 | 你们都别跟我们抢了好不好？ | non-hate | non-hate [END]
NULL | 极端是一身艾滋+X病 | non-hate | non-hate [END]
这种女人 | 这些女人会找年龄一大把的老男人吗？ | Sexism | non-hate [END]
NULL | 想给阿娜上坟捏 | non-hate | non-hate [END]
你 | 安慰了黑人之后，去医院查一下，不要害人。 | Racism | hate [END]
姆蛆 | 好不容易才找到的 | Sexism | hate [END]
NULL | 啧，现在感觉形式开始严峻了 | non-hate | non-hate [END]
吸血虫 | 花钱去讨好一个依附你的吸血虫？ | others | hate [END]
同性恋 | 我感到恶心是生理上的 | LGBTQ | hate [END]
提问者 | 那你尊重提问者说的话吧 | non-hate | non-hate [END]
女人 | 只需要征服男人就可以享受一切成果，多么轻而易举啊 | Sexism | hate [END]
哥布林 | 拒绝哥布林和各种超级病毒。 | Racism | hate [END]
男同 | 我本来不厌恶男同，直到看到他们骗婚 | LGBTQ | hate [END]
广西人 | 飘过…… | non-hate | non-hate [END]
NULL | 人家不会跪着安排豪华宿舍、美女学伴、高额奖金😅 | non-hate | non-hate [END]
女司机 | 我看各种车祸事件也怕肇事车主是女司机 | Sexism | hate [END]
非洲 | 未来非洲的潜力是无限的。 | non-hate | non-hate [END]
基佬 | 被碰一下直接发廊 | LGBTQ | hate [END]
我 | 我一个从小从苏南去东北生活的人说是哪儿的都不合适🥺 | Region | non-hate [END]
河南小姐姐 | 我认识的河南小姐姐人可好了~ | Region | non-hate [END]
蛆 | 因为蛆就是畸形 | others | hate [END]
他 | 你凭什么假定他的性别。 | non-hate | non-hate [END]
国男 | 哪怕结婚了你还会被甩😄 | Sexism | hate [END]
搞地域歧视的 | 总之就是非蠢即坏 | Region | hate [END]
我 | 我是河北滴 | non-hate | non-hate [END]
东北人 | 只是把东北人所作所为如实说出来。 | Region | hate [END]
咱 | 咱学学隔壁上海已经佛到自黑了 | Region | non-hate [END]
基佬 | 现在被基佬删了 | LGBTQ | hate [END]
这些 | 都是猩猩。 | Racism | hate [END]
NULL | 女人的钱好赚啊 | non-hate | non-hate [END]
黑人 | 不是我喜欢的颜 | Racism | non-hate [END]
女的 | 很可能会适得其反~最终会让企业和公司那些用人单位，更加不敢招女的 | Sexism | hate [END]
我们男人 | 气抖冷，我们男人什么时候才能站起来 | Sexism | hate [END]
NULL | 美国内战的阴云 | non-hate | non-hate [END]
这个基佬 | 人面兽心还叫帅天理何在！ | LGBTQ | hate [END]
哪个省的人 | 没有哪个省的人是应该被黑的 | Region | non-hate [END]
我 | 我希望自己有独当一面的能力 | non-hate | non-hate [END]
东北 | 以前原本就喜欢地域黑啊 | Region | hate [END]
NULL | 在这个吧，吧友能挖出更深层次的答案 | non-hate | non-hate [END]
我们 | 看了就说我们流氓，不看就说我们是gay、xing冷淡。 | LGBTQ;Sexism | hate [END]
那个屌逼 | 就是个** | non-hate | non-hate [END]
陕西人 | 确实是这样的，看不起附近几个省份。 | Region | hate [END]
女权吧的 | 活了不到五分钟就被删帖了 | Sexism | non-hate [END]
你 | 你快去自**吧 | non-hate | non-hate [END]
炼铜txl | 能不能④ | LGBTQ;others | hate [END]
幕刃 | 珍爱生命远离幕刃 | Sexism | hate [END]
NULL | 王心凌多好看，我喜欢这种的。。。 | non-hate | non-hate [END]
NULL | 女性接受高等教育比例超过男性 | non-hate | non-hate [END]
我们 | 我有被东北人喷过扬州三屠和南京大屠杀是我们活该😅 | Region | hate [END]
你们 | 嘴里说着男女平等，却处心积虑让男的花钱 | Sexism | hate [END]
他们 | 国家没有义务照顾所有人的意愿 | non-hate | non-hate [END]
俺们某北 | 是与天下为敌啊。 | Region | hate [END]
你们 | 你们才是地域黑输出主力军吧 | Region | hate [END]
女权主义者 | 永远不会忏悔 | Sexism | hate [END]
NULL | 人从出生就被异性恋宣传，结果呢，异性恋本还是异性恋，同姓恋也还是同性恋 | non-hate | non-hate [END]
黑大人 | 男拳语录就是个黑大人发明的🤣 | Racism;Sexism | hate [END]
这人 | 学过历史吗 | non-hate | non-hate [END]
他 | 我看他天天钓鱼 | non-hate | non-hate [END]
她们 | 可就那么一下的谈论就可以导致她们社死了 | Sexism | hate [END]
抖友 | 有的时候还真能处 | others | non-hate [END]
女性 | 会不会沦为交易的货物，或者奴隶呢？ | Sexism | hate [END]
一个烂货 | 有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。 | Sexism | hate [END]
你这个喃蛮 | 编的故事挺好的 | Region;Racism | hate [END]
普通大学 | 也这样搞？ | non-hate | non-hate [END]
我 | 我也是去读书的😓 | non-hate | non-hate [END]
上海 | 实锤证明上海被地域黑最严重。 | Region | non-hate [END]
有些上海市区人 | 歧视市区以外的人（包括上海郊区） | Region | hate [END]
NULL | 总结：农业大省，人口较多，经济不太发达 | non-hate | non-hate [END]
幕刃 | 这句话不知道是哪个幕刃说出来的 | Sexism | hate [END]
NULL | 视频是好视频，有教育意义 | non-hate | non-hate [END]
黑龙江，男的 | 不帅还太热衷艺考。 | Region;Sexism | hate [END]
你 | 你听不懂还以为人家在夸你 | non-hate | non-hate [END]
有些垃圾 | 真的恶心 | non-hate | non-hate [END]
聪明的男人 | 已经留下了种子还不用负责！ | Sexism | non-hate [END]
跟黑人女性结婚的中国男性 | 应该去非洲吗？ | Racism;Sexism | hate [END]
女生 | 现实中女生都多多少少有点歧视黑人。 | Racism;Sexism | hate [END]
NULL | 中国引进那么多，迟早都会出现这样的情况 | non-hate | non-hate [END]
牠们 | 请问牠们算人吗 | others | hate [END]
NULL | 如何查男友手机，如何判断男友是否是处。 | non-hate | non-hate [END]
南方人 | 中央台一直被北京人和东北人霸占着来黑南方人 | Region | hate [END]
非洲黑人 | 如果经历过璀璨的文明的话，不至于落到现在的境地。 | Racism | non-hate [END]
这种脑残 | 是大学孝长的坐上宾啊 | others | hate [END]
南桐 | 看了一眼全是南桐，吐了 | LGBTQ | hate [END]
NULL | 热情好客不代表可以反客为主。 | non-hate | non-hate [END]
反默老哥 | 都转抖音了吗？ | Racism | non-hate [END]
你爸 | 哪里得罪了你 | non-hate | non-hate [END]
南方 | 可能南方也分为东南和西南 | non-hate | non-hate [END]
这些黑人 | 会要求政治权力 | Racism | hate [END]
★★ | 在这就是工具 | Sexism | hate [END]
南方人 | 春晚喜欢黑南方人娘娘腔 | Region;Sexism | hate [END]
吾 | 乃物种骑士，不是种族骑士 | Racism | non-hate [END]
哥 | 哥直的狠😆 | non-hate | non-hate [END]
死肥猪 | 去死啊 | others | hate [END]
诈骗犯 | 给彩礼也不嫁什么诈骗犯 | others | hate [END]
它 | 只有大量繁殖才能保证种族延续。 | others | hate [END]
同性恋 | 无论怎样结果都是同性恋的错 | LGBTQ | hate [END]
他 | 老私信追着我骂 | non-hate | non-hate [END]
NULL | 还是要努力奋斗创造财富的，而不是努力内卷！ | non-hate | non-hate [END]
我们 | 是文明人 | non-hate | non-hate [END]
牠 | 牠不一定是亻 | others | hate [END]
他们 | 都这么让着他们了还不愿意？ | non-hate | non-hate [END]
女性 | 提高家庭地位的方法：工资上缴 | Sexism | non-hate [END]
NULL | 啥省份的都有 | non-hate | non-hate [END]
黑人 | 就是不老实，脸皮厚 | Racism | hate [END]
安徽池州 | 也是这样，才从五线变四线 | Region | non-hate [END]
拳师 | 这就网上的拳师吗，我吐了 | Sexism | hate [END]
男同 | 男生对男同首先是有生理反感，其次才是歧视 | LGBTQ;Sexism | hate [END] [SEP] 女同 | 男生对女同没有生理反感，所以才会更喜欢女同 | LGBTQ;Sexism | non-hate [END]
我们河南 | 请你去掉我们河南，改成我们东北下面的河南 | Region | hate [END]
女同桌 | 被我整得最多的女同桌原来一直暗恋我 | Sexism | non-hate [END]
白人政府 | 造假。 | Racism | hate [END]
NULL | 这次的俄乌战争提供的案例真是太多了 | non-hate | non-hate [END]
幕刃 | 女性和幕刃是两种生物 | Sexism | hate [END]
NULL | 人家是生意，要收钱的，这个是免费。 | non-hate | non-hate [END]
NULL | 极端女权，极端男拳 这个输入法有点意思 | non-hate | non-hate [END]
你 | 看你这么卖力气，特意回来给你点了个赞同 | non-hate | non-hate [END]
国男 | 尽国男之物力，结女友只欢心 | Sexism | hate [END]
同性恋 | 现在的同性恋都这么叼吗？ | LGBTQ | hate [END]
女权 | 知道女权变成女拳之前结婚率血崩了么？ | Sexism | hate [END]
NULL | 人家能到越南做生意，说明有路子，娶个漂亮老婆算什么难事吗？ | non-hate | non-hate [END]
龟男 | 这种龟男是真的可怕 | Sexism | hate [END]
女人 | 不要脸的女人 | Sexism | hate [END]
NULL | 这里至少还有个男的，隔壁摆摊收豆子里就没出现过男性 | non-hate | non-hate [END]
我们 | 都是家暴男捏 | Sexism | hate [END]
中国 | 有地域歧视很正常 | Region | non-hate [END]
昭和时期的日本人 | 不得一刀刺过去？ | Racism | non-hate [END]
国女 | 以国女那爱炫耀爱攀比的人物性格，早就回来装逼了 | Sexism | hate [END]
NULL | 难道不是小孩贫血，好心人献血过多，改变了血型吗? | non-hate | non-hate [END]
女拳 | 也不知道女拳哪里不满>_< | Sexism | hate [END]
假和尚 | 假和尚在河南才多🤣🤣🤣🤣 | Region;others | hate [END]
混血儿 | 过去不是叫杂种么 | Racism | hate [END]
NULL | 这鸡汤好喝 | non-hate | non-hate [END]
回民和东北人 | 为啥是回民和东北人会被黑啊？ | Region;others | hate [END]
外地人 | 去上海，被骂要饭的 | Region | hate [END]
黑人 | 团结起来，赶走黑人。👍️ | Racism | hate [END]
LZ | 功不可没，民族英雄。 | non-hate | non-hate [END]
外国媳妇 | 日韩越的还能接受，至少同人种。 | Racism | non-hate [END]
女性 | 只有女性才会存在的一种视觉进化（男性没有） | Sexism | non-hate [END]
这种nt发言 | 一度让我怀疑是友军反串 | non-hate | non-hate [END]
你 | 你不会以为同看到你就会疯狂的爱上你吧 | non-hate | non-hate [END]
NULL | 这是不是批判，这比批判严重多了。 | non-hate | non-hate [END]
÷生 | 如此双标的话不是÷生真说不出口 | others | hate [END]
丑男 | 自己下个blued看看，一堆丑男 | LGBTQ | hate [END]
新疆切糕 | 应该新疆切糕把新疆人名声败坏了吧 | Region | hate [END]
我们同性恋 | 太正确了 | LGBTQ | non-hate [END]
沪黑 | 原来沪黑都如此渺小了a | Region | non-hate [END]
黑同 | 垃圾：黑同 | Racism;LGBTQ | hate [END]
籹犬分子 | 一脚踢爆 | Sexism | hate [END]
NULL | 只要威逼利诱一下，先找当地黑人威胁一下，再给钱赎人就能救回来 | non-hate | non-hate [END]
NULL | 我这辈子没这么无语过😓😓😓 | non-hate | non-hate [END]
女权 | 现在女权已经疯了，都开始从基因找优越感了 | Sexism | hate [END]
同性恋 | 不像同性恋那样恶心。 | LGBTQ | hate [END]
我对象 | 沈阳的，我觉得还是看得上的 | non-hate | non-hate [END]
吴施蒙 | 我在手机上搜 吴施蒙 竟然出来一堆色情网站 | others | non-hate [END]
中国男人 | 在非洲到处玩女人，还都玩质量最好的 | Sexism;Racism | hate [END]
坏人 | 黑性旺盛，完全不讲道义，坏人一个 | Racism | hate [END]
你 | 你倒是挺会装的 | non-hate | non-hate [END]
异性恋 | 敢组织love don’t is love活动吗 | non-hate | non-hate [END]
龟男 | 这种龟男必须抵制 | Sexism | hate [END]
我们甘肃人 | 一辈子洗三次澡，出生结婚死亡? | Region | hate [END]
NULL | rush，增加kuai感的 | non-hate | non-hate [END]
它们 | 那就陪它们打到底！ | non-hate | non-hate [END]
这货 | 下海吧 | non-hate | non-hate [END]
南满 | 黑河南、黑北方的都是南满 | Region | hate [END]
这司机 | 长得还行啊 | non-hate | non-hate [END]
你们 | “chinese women's pussy smells like dead fish” | Sexism;Racism | hate [END]
普信女 | 教课书一样的普信女 | Sexism | hate [END]
嫁黑人的 | 我不反对，我只歧视。 | Racism;Sexism | hate [END]
吧 | 吧里没落了 | non-hate | non-hate [END]
我 | 我怕性病艾滋病🤔 | non-hate | non-hate [END]
你 | 你现在为什么住南昌呢？ | non-hate | non-hate [END]
他们 | 排他们，他们活该。 | others | hate [END]
我 | 没办法我天生的改不了 | non-hate | non-hate [END]
你 | 这么自信别匿名啊 | non-hate | non-hate [END]
